Event,City,date,Discipline,Rank,Athlete
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,16,Toby Roberts
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,9,Toby Roberts
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,1,Toby Roberts
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,15,Toby Roberts
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,3,Toby Roberts
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,8,Toby Roberts
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,25,Toby Roberts
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",Japan,2022-10-22,boulder&lead,13,Toby Roberts
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",Edinburgh,2022-09-11,lead,3,Toby Roberts
"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",United States,2022-09-01,boulder,2,Toby Roberts
"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",United States,2022-09-01,lead,2,Toby Roberts
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder,31,Toby Roberts
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,lead,13,Toby Roberts
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,Briançon,2022-07-23,lead,18,Toby Roberts
"IFSC Europe - Continental Cup (L,S) - Žilina (SVK) 2022",Žilina,2022-07-17,lead,1,Toby Roberts
"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",Augsburg,2022-07-10,lead,1,Toby Roberts
"IFSC Europe - Continental Cup (L,S) - Arco (ITA) 2022",Arco,2022-06-05,lead,21,Toby Roberts
IFSC Europe - Continental Cup (B) - Brixen (ITA) 2022,Brixen,2022-05-08,boulder,41,Toby Roberts
IFSC Europe - Continental Cup (B) - Prague (CZE) 2022,Prague,2022-05-01,boulder,23,Toby Roberts
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,lead,7,Toby Roberts
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,boulder,15,Toby Roberts
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,speed,21,Toby Roberts
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,combined,2,Toby Roberts
"European Youth Championships (L,S) - Voronezh (RUS) 2019",EYCH_Voronezh_19,2019-10-20,lead,2,Toby Roberts
European Youth Championships (B) - Brixen (ITA) 2019,EYCH_Brixen_19,2019-09-22,boulder,1,Toby Roberts
IFSC Youth World Championships -  Arco (ITA) 2019,YWCH Arco,2019-08-31,combined,9,Toby Roberts
IFSC Youth World Championships -  Arco (ITA) 2019,YWCH Arco,2019-08-31,speed,41,Toby Roberts
IFSC Youth World Championships -  Arco (ITA) 2019,YWCH Arco,2019-08-31,lead,6,Toby Roberts
IFSC Youth World Championships -  Arco (ITA) 2019,YWCH Arco,2019-08-31,boulder,15,Toby Roberts
"European Youth Cup (S,L) - Imst (AUT) 2019",Imst,2019-08-04,speed,19,Toby Roberts
"European Youth Cup (S,L) - Imst (AUT) 2019",Imst,2019-08-04,lead,11,Toby Roberts
European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,St. Pierre Faucigny,2019-06-30,lead,4,Toby Roberts
European Youth Cup (L) - Ostermundigen (SUI) 2019,Ostermundigen,2019-06-23,lead,9,Toby Roberts
